Batch change
Module name, Device, Current value, Display format, Comment
Global,R3409,-,1-bit BIN,
Global,R3410,-,1-bit BIN,
Global,R3411,-,1-bit BIN,
Global,R3412,-,1-bit BIN,
Global,R3413,-,1-bit BIN,
Global,R3414,-,1-bit BIN,
Global,R3415,-,1-bit BIN,
Global,R3500,-,1-bit BIN,
Global,R3501,-,1-bit BIN,
Global,R3502,-,1-bit BIN,
Global,R3503,-,1-bit BIN,
Global,R3504,-,1-bit BIN,
Global,R3505,-,1-bit BIN,
Global,R3506,-,1-bit BIN,
Global,R3507,-,1-bit BIN,
Global,R3508,-,1-bit BIN,
Global,R3509,-,1-bit BIN,
Global,R3510,-,1-bit BIN,
Global,R3511,-,1-bit BIN,
Global,R3512,-,1-bit BIN,
Global,R3513,-,1-bit BIN,
Global,R3514,-,1-bit BIN,
Global,R3515,-,1-bit BIN,
Global,R3600,-,1-bit BIN,
Global,R3601,-,1-bit BIN,
Global,R3602,-,1-bit BIN,
Global,R3603,-,1-bit BIN,
Global,R3604,-,1-bit BIN,
Global,R3605,-,1-bit BIN,
Global,R3606,-,1-bit BIN,
Global,R3607,-,1-bit BIN,
Global,R3608,-,1-bit BIN,
Global,R3609,-,1-bit BIN,
Global,R3610,-,1-bit BIN,
Global,R3611,-,1-bit BIN,
Global,R3612,-,1-bit BIN,
Global,R3613,-,1-bit BIN,
Global,R3614,-,1-bit BIN,
Global,R3615,-,1-bit BIN,
Global,R3700,-,1-bit BIN,
Global,R3701,-,1-bit BIN,
Global,R3702,-,1-bit BIN,
Global,R3703,-,1-bit BIN,
Global,R3704,-,1-bit BIN,
Global,R3705,-,1-bit BIN,
Global,R3706,-,1-bit BIN,
Global,R3707,-,1-bit BIN,
Global,R3708,-,1-bit BIN,
Global,R3709,-,1-bit BIN,
Global,R3710,-,1-bit BIN,
Global,R3711,-,1-bit BIN,
Global,R3712,-,1-bit BIN,
Global,R3713,-,1-bit BIN,
Global,R3714,-,1-bit BIN,
Global,R3715,-,1-bit BIN,
Global,R3800,-,1-bit BIN,
Global,R3801,-,1-bit BIN,
Global,R3802,-,1-bit BIN,
Global,R3803,-,1-bit BIN,
Global,R3804,-,1-bit BIN,
Global,R3805,-,1-bit BIN,
Global,R3806,-,1-bit BIN,
Global,R3807,-,1-bit BIN,
Global,R3808,-,1-bit BIN,
Global,R3809,-,1-bit BIN,
Global,R3810,-,1-bit BIN,
Global,R3811,-,1-bit BIN,
Global,R3812,-,1-bit BIN,
Global,R3813,-,1-bit BIN,
Global,R3814,-,1-bit BIN,
Global,R3815,-,1-bit BIN,
Global,R3900,-,1-bit BIN,
Global,R3901,-,1-bit BIN,
Global,R3902,-,1-bit BIN,
Global,R3903,-,1-bit BIN,
Global,R3904,-,1-bit BIN,
Global,R3905,-,1-bit BIN,
Global,R3906,-,1-bit BIN,
Global,R3907,-,1-bit BIN,
Global,R3908,-,1-bit BIN,
Global,R3909,-,1-bit BIN,
Global,R3910,-,1-bit BIN,
Global,R3911,-,1-bit BIN,
Global,R3912,-,1-bit BIN,
Global,R3913,-,1-bit BIN,
Global,R3914,-,1-bit BIN,
Global,R3915,-,1-bit BIN,
Global,R4000,-,1-bit BIN,
Global,R4001,-,1-bit BIN,
Global,R4002,-,1-bit BIN,
Global,R4003,-,1-bit BIN,
Global,R4004,-,1-bit BIN,
Global,R4005,-,1-bit BIN,
Global,R4006,-,1-bit BIN,
Global,R4007,-,1-bit BIN,
Global,R4008,-,1-bit BIN,
Global,R4009,-,1-bit BIN,
Global,R4010,-,1-bit BIN,
Global,R4011,-,1-bit BIN,
Global,R4012,-,1-bit BIN,
Global,R4013,-,1-bit BIN,
Global,R4014,-,1-bit BIN,
Global,R4015,-,1-bit BIN,
Global,R4100,-,1-bit BIN,
Global,R4101,-,1-bit BIN,
Global,R4102,-,1-bit BIN,
Global,R4103,-,1-bit BIN,
Global,R4104,-,1-bit BIN,
Global,R4105,-,1-bit BIN,
Global,R4106,-,1-bit BIN,
Global,R4107,-,1-bit BIN,
Global,R4108,-,1-bit BIN,
Global,R4109,-,1-bit BIN,
Global,R4110,-,1-bit BIN,
Global,R4111,-,1-bit BIN,
Global,R4112,-,1-bit BIN,
Global,R4113,-,1-bit BIN,
Global,R4114,-,1-bit BIN,
Global,R4115,-,1-bit BIN,
Global,R4200,-,1-bit BIN,
Global,R4201,-,1-bit BIN,
Global,R4202,-,1-bit BIN,
Global,R4203,-,1-bit BIN,
Global,R4204,-,1-bit BIN,
Global,R4205,-,1-bit BIN,
Global,R4206,-,1-bit BIN,
Global,R4207,-,1-bit BIN,
Global,R4208,-,1-bit BIN,
Global,R4209,-,1-bit BIN,
Global,R4210,-,1-bit BIN,
Global,R4211,-,1-bit BIN,
Global,R4212,-,1-bit BIN,
Global,R4213,-,1-bit BIN,
Global,R4214,-,1-bit BIN,
Global,R4215,-,1-bit BIN,
Global,R4300,-,1-bit BIN,
Global,R4301,-,1-bit BIN,
Global,R4302,-,1-bit BIN,
Global,R4303,-,1-bit BIN,
Global,R4304,-,1-bit BIN,
Global,R4305,-,1-bit BIN,
Global,R4306,-,1-bit BIN,
Global,R4307,-,1-bit BIN,
Global,R4308,-,1-bit BIN,
Global,R4309,-,1-bit BIN,
Global,R4310,-,1-bit BIN,
Global,R4311,-,1-bit BIN,
Global,R4312,-,1-bit BIN,
Global,R4313,-,1-bit BIN,
Global,R4314,-,1-bit BIN,
Global,R4315,-,1-bit BIN,
Global,R4400,-,1-bit BIN,
Global,R4401,-,1-bit BIN,
Global,R4402,-,1-bit BIN,
Global,R4403,-,1-bit BIN,
Global,R4404,-,1-bit BIN,
Global,R4405,-,1-bit BIN,
Global,R4406,-,1-bit BIN,
Global,R4407,-,1-bit BIN,
Global,R4408,-,1-bit BIN,
Global,R4409,-,1-bit BIN,
Global,R4410,-,1-bit BIN,
Global,R4411,-,1-bit BIN,
Global,R4412,-,1-bit BIN,
Global,R4413,-,1-bit BIN,
Global,R4414,-,1-bit BIN,
Global,R4415,-,1-bit BIN,
Global,R4500,-,1-bit BIN,
Global,R4501,-,1-bit BIN,
Global,R4502,-,1-bit BIN,
Global,R4503,-,1-bit BIN,
Global,R4504,-,1-bit BIN,
Global,R4505,-,1-bit BIN,
Global,R4506,-,1-bit BIN,
Global,R4507,-,1-bit BIN,
Global,R4508,-,1-bit BIN,
Global,R4509,-,1-bit BIN,
Global,R4510,-,1-bit BIN,
Global,R4511,-,1-bit BIN,
Global,R4512,-,1-bit BIN,
Global,R4513,-,1-bit BIN,
Global,R4514,-,1-bit BIN,
Global,R4515,-,1-bit BIN,
Global,R4600,-,1-bit BIN,
Global,R4601,-,1-bit BIN,
Global,R4602,-,1-bit BIN,
Global,R4603,-,1-bit BIN,
Global,R4604,-,1-bit BIN,
Global,R4605,-,1-bit BIN,
Global,R4606,-,1-bit BIN,
Global,R4607,-,1-bit BIN,
Global,R4608,-,1-bit BIN,
Global,R4609,-,1-bit BIN,
Global,R4610,-,1-bit BIN,
Global,R4611,-,1-bit BIN,
Global,R4612,-,1-bit BIN,
Global,R4613,-,1-bit BIN,
Global,R4614,-,1-bit BIN,
Global,R4615,-,1-bit BIN,
Global,R4700,-,1-bit BIN,
Global,R4701,-,1-bit BIN,
Global,R4702,-,1-bit BIN,
Global,R4703,-,1-bit BIN,
Global,R4704,-,1-bit BIN,
Global,R4705,-,1-bit BIN,
Global,R4706,-,1-bit BIN,
Global,R4707,-,1-bit BIN,
Global,R4708,-,1-bit BIN,
Global,R4709,-,1-bit BIN,
Global,R4710,-,1-bit BIN,
Global,R4711,-,1-bit BIN,
Global,R4712,-,1-bit BIN,
Global,R4713,-,1-bit BIN,
Global,R4714,-,1-bit BIN,
Global,R4715,-,1-bit BIN,
Global,R4800,-,1-bit BIN,
Global,R4801,-,1-bit BIN,
Global,R4802,-,1-bit BIN,
Global,R4803,-,1-bit BIN,
Global,R4804,-,1-bit BIN,
Global,R4805,-,1-bit BIN,
Global,R4806,-,1-bit BIN,
Global,R4807,-,1-bit BIN,
Global,R4808,-,1-bit BIN,
Global,R4809,-,1-bit BIN,
Global,R4810,-,1-bit BIN,
